icao24,origin_country,velocity,on_ground
c07d0b,Canada,40.59,False
a09281,United States,55.0,False
ab1644,United States,210.15,False
e8027b,Chile,124.09,False
a4d862,United States,37.27,False
ab6fdd,United States,214.45,False
a5953a,United States,58.46,False
a3feee,United States,59.77,False
a3b87f,United States,128.78,False
801643,India,238.01,False
a5f84e,United States,71.3,False
3cf0b8,Germany,198.37,False
a2cbca,United States,214.78,False
a34230,United States,91.43,False
a3fefb,United States,221.22,False
a0928e,United States,52.51,False
ac4963,United States,263.25,False
7c1bc9,Australia,70.03,False
a3b88e,United States,72.58,False
acdfa3,United States,175.31,False
a4c54a,United States,31.29,False
80160b,India,8.23,True
a1befb,United States,51.88,False
a2cbb5,United States,43.19,False
801621,India,218.34,False
801622,India,257.91,False
851914,Japan,258.93,False
a4b228,United States,206.38,False
c07d1a,Canada,231.21,False
ad5623,United States,93.13,False
407a05,United Kingdom,217.06,False
a1abbe,United States,33.96,False
a0e23b,United States,35.53,False
a48850,United States,135.35,False
ad694c,United States,8.23,True
a0e249,United States,218.45,False
80166c,India,271.07,False
adeca5,United States,179.29,False
511188,Estonia,223.4,False
7c7269,Australia,46.94,False
a47597,United States,227.38,False
a6f0fd,United States,76.17,False
4bc8c5,Turkey,228.41,False
4bc8c2,Turkey,4.12,False
ab0361,United States,187.46,False
ac499c,United States,194.2,False
4bc8d0,Turkey,259.29,False
c02294,Canada,149.28,False
abf008,United States,154.95,False
a4d82c,United States,52.1,False
a710fe,United States,33.7,False
e80267,Chile,172.57,False
a127a0,United States,60.54,False
ae1fcd,United States,50.54,False
4bc8d2,Turkey,248.68,False
80164b,India,138.5,False
ac234f,United States,158.87,False
a963f8,United States,75.47,False
ad5679,United States,99.9,False
ae6321,United States,118.86,False
ae6322,United States,147.52,False
a22275,United States,50.39,False
ae1fff,United States,57.52,False
801665,India,333.22,False
7c1bed,Australia,69.86,False
ae631e,United States,138.75,False
a72506,United States,49.32,False
a59529,United States,31.9,False
a4d849,United States,40.85,False
ae1ff9,United States,43.71,False
a3a541,United States,44.74,False
aae377,United States,127.11,False
e8026a,Chile,197.47,False
7c7239,Australia,28.78,False
a5f826,United States,142.93,False
801669,India,212.46,False
a3689e,United States,207.04,False
ac1042,United States,199.38,False
a3556f,United States,186.32,False
a9c6fb,United States,85.73,False
801672,India,4.63,True
abf025,United States,171.81,False
aae36f,United States,173.01,False
7c1bdd,Australia,126.56,False
a53ee2,United States,228.39,False
e8027a,Chile,245.55,False
a7125b,United States,217.17,False
aa8075,United States,176.04,False
a007f2,United States,44.78,False
ab01ee,United States,48.77,False
c02267,Canada,184.95,False
a4b294,United States,162.09,False
a7bbe9,United States,219.74,False
adda24,United States,0.0,True
aae1f8,United States,173.65,False
adda23,United States,179.49,False
e80215,Chile,202.21,False
e80214,Chile,213.63,False
accd69,United States,0.51,True
adb7ee,United States,174.99,False
ad8a47,United States,296.23,False
e8020e,Chile,31.9,True
a6f23d,United States,246.25,False
ada4c6,United States,51.81,False
80168c,India,215.04,False
0d11e4,Mexico,210.55,False
